Time Stamp (ms),qw,qx,qy,qz
-8,0.452271,-0.161804,0.397278,-0.781921
27,0.449036,-0.15802,0.397034,-0.784729
60,0.451111,-0.169739,0.400757,-0.779175
93,0.451904,-0.1698,0.39386,-0.782166
126,0.450439,-0.172852,0.395142,-0.781738
159,0.448792,-0.175598,0.401855,-0.778625
195,0.445862,-0.175415,0.402832,-0.779846
226,0.442444,-0.177979,0.406128,-0.77948
260,0.436646,-0.181335,0.417175,-0.776123
295,0.429382,-0.187988,0.429993,-0.771606
327,0.42395,-0.195496,0.435669,-0.769592
362,0.419006,-0.190063,0.430908,-0.776306
396,0.411499,-0.165833,0.402161,-0.800903
429,0.407776,-0.159973,0.375671,-0.816711
464,0.410767,-0.17395,0.366516,-0.816528
496,0.402161,-0.178711,0.346436,-0.82843
528,0.385681,-0.159851,0.296082,-0.85907
564,0.387085,-0.133118,0.248657,-0.877869
596,0.354004,-0.181885,0.312805,-0.862427
629,0.300293,-0.219849,0.362244,-0.854553
664,0.254211,-0.21991,0.333984,-0.880615
697,0.228699,-0.222046,0.309692,-0.895813
730,0.220642,-0.242554,0.320496,-0.888672
765,0.189392,-0.297302,0.357605,-0.864807
798,0.135132,-0.324646,0.34137,-0.871643
832,0.048584,-0.32666,0.320862,-0.887695
865,-0.0585327,-0.290771,0.397522,-0.868347
901,-0.0969238,-0.285034,0.414429,-0.858826
932,-0.0991211,-0.299866,0.430786,-0.845398
966,-0.0999756,-0.305176,0.449646,-0.833496
1000,-0.104858,-0.283325,0.425903,-0.852844
1032,-0.11438,-0.289246,0.372192,-0.874512
1066,-0.105957,-0.296082,0.376282,-0.871521
1101,-0.0801392,-0.293335,0.349854,-0.886047
1134,-0.0631104,-0.27478,0.30011,-0.911316
1167,-0.0616455,-0.248657,0.327515,-0.909485
1202,-0.0463257,-0.206543,0.338135,-0.916992
1235,-0.00665283,-0.167419,0.263306,-0.950073
1267,0.00970459,-0.164124,0.301208,-0.93927
1302,0.0436401,-0.172363,0.375671,-0.909546
1334,0.0383301,-0.16687,0.373108,-0.911865
1369,0.0560303,-0.165039,0.360291,-0.916382
1403,0.043457,-0.152588,0.354004,-0.921692
1435,0.032959,-0.140869,0.352844,-0.924438
1470,0.0273438,-0.134583,0.346863,-0.927795
1503,-0.0327148,-0.123535,0.341797,-0.93103
1537,-0.0855103,-0.122803,0.350403,-0.924561
1570,-0.129578,-0.109253,0.347168,-0.922363
1603,-0.119812,-0.0961914,0.332642,-0.93042
1639,-0.138367,-0.0901489,0.312683,-0.935425
1670,-0.16394,-0.0710449,0.312378,-0.932983
1704,-0.168213,-0.0744019,0.339844,-0.922302
1739,-0.180481,-0.0956421,0.33728,-0.919006
1771,-0.218018,-0.0811157,0.277588,-0.932129
1806,-0.216675,-0.0667114,0.311829,-0.922729
1839,-0.259705,-0.0806885,0.364502,-0.890625
1872,-0.247681,-0.0819702,0.383606,-0.885864
1906,-0.240051,-0.0725708,0.385925,-0.887817
1940,-0.232544,-0.0443115,0.349182,-0.906677
1972,-0.21344,-0.0445557,0.332642,-0.91748
2008,-0.210205,-0.053894,0.347046,-0.912415
2045,-0.202576,-0.0513306,0.324158,-0.922607
2074,-0.197327,-0.0535278,0.289978,-0.934937
2108,-0.181702,-0.0368042,0.295349,-0.937256
2141,-0.146423,-0.0200806,0.313171,-0.93811
2175,-0.110657,0.00402832,0.228027,-0.967346
2209,-0.0682373,0.0306396,0.171387,-0.982361
2242,0.0269165,0.0112915,0.226318,-0.973633
2275,0.0786743,-0.0238647,0.283325,-0.955505
2309,0.0821533,-0.0990601,0.329285,-0.935425
2342,0.0581665,-0.152466,0.375244,-0.912476
2375,0.0010376,-0.346558,0.359802,-0.866272
2409,0.114929,-0.418701,0.231995,-0.870422
2443,0.132813,-0.37262,0.245667,-0.884949
2476,0.227539,-0.429688,0.290527,-0.824158
2509,0.197754,-0.389648,0.365662,-0.821777
2544,0.228638,-0.319702,0.368164,-0.84259
2577,0.208252,-0.214722,0.442017,-0.845703
2610,0.188599,-0.278687,0.445374,-0.829712
2646,0.163757,-0.334351,0.540466,-0.754517
2679,0.132568,-0.415588,0.485352,-0.757751
2711,0.178284,-0.35321,0.469116,-0.789551
2746,0.141968,-0.370728,0.459778,-0.794373
2779,0.154663,-0.346436,0.490417,-0.784607
2812,0.188599,-0.318604,0.469543,-0.801575
2846,0.191589,-0.294373,0.44397,-0.824341
